bacteria_id	taxa	relAbundance	run_id	read1	read2
B5FV	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii	0.02	F2W3	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F2W/F2W3/F2W3.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F2W/F2W3/F2W3.R2.fastq.gz
B8E3	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum	0.081	F3TJ	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3TJ/F3TJ.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3TJ/F3TJ.R2.fastq.gz
BHNK	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fluxus	0.21	F67N	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F67/F67N/F67N.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F67/F67N/F67N.R2.fastq.gz
BMCC	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi	0.022000000000000002	F6RM	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F6R/F6RM/F6RM.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F6R/F6RM/F6RM.R2.fastq.gz
B7D1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_anaerobius	0.11	F3T5	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3T5/F3T5.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3T5/F3T5.R2.fastq.gz
BPDV	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae	0.03	FC9N	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FC/FC9/FC9N/FC9N.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FC/FC9/FC9N/FC9N.R2.fastq.gz
B7HK	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	0.006999999999999999	F3N5	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3N/F3N5/F3N5.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3N/F3N5/F3N5.R2.fastq.gz
BBHN	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_casei_paracasei	0.02	F681	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F68/F681/F681.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F68/F681/F681.R2.fastq.gz
B9B2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	0.02	F47V	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F47/F47V/F47V.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F47/F47V/F47V.R2.fastq.gz
B8CW	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_uli	0.006999999999999999	F3TU	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3TU/F3TU.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3TU/F3TU.R2.fastq.gz
BXT	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0.2	F201	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F20/F201/F201.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F20/F201/F201.R2.fastq.gz
BWE9	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0.19	FDKG	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDK/FDKG/FDKG.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDK/FDKG/FDKG.R2.fastq.gz
B7DX	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	0.061	F3T7	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3T7/F3T7.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3T7/F3T7.R2.fastq.gz
BJ1D	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_amylovorus	0.2	F66C	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F66/F66C/F66C.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F66/F66C/F66C.R2.fastq.gz
B2CG	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_koseri	0.4	F3N7	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3N/F3N7/F3N7.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3N/F3N7/F3N7.R2.fastq.gz
B76T	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_vaginalis	0.025	F4H2	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F4H/F4H2/F4H2.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F4H/F4H2/F4H2.R2.fastq.gz
B816	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.13	F3TG	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3TG/F3TG.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3TG/F3TG.R2.fastq.gz
BBB2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus_thuringiensis	0.06	FD76	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FD7/FD76/FD76.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FD7/FD76/FD76.R2.fastq.gz
BVBA	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia|s__Serratia_marcescens	1.2	FD5C	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FD5/FD5C/FD5C.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FD5/FD5C/FD5C.R2.fastq.gz
BH02	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	1.0	FBCP	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FB/FBC/FBCP/FBCP.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FB/FBC/FBCP/FBCP.R2.fastq.gz
B6K5	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	1.9	F5H2	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F5/F5H/F5H2/F5H2.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F5/F5H/F5H2/F5H2.R2.fastq.gz
BV6A	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0.7	FD5G	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FD5/FD5G/FD5G.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FD5/FD5G/FD5G.R2.fastq.gz
B99K	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	18.0	FMEH	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FM/FME/FMEH/FMEH.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FM/FME/FMEH/FMEH.R2.fastq.gz
B1BH	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	1.1	F1YW	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F1/F1Y/F1YW/F1YW.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F1/F1Y/F1YW/F1YW.R2.fastq.gz
B52A	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	14.4	F66Y	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F66/F66Y/F66Y.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F66/F66Y/F66Y.R2.fastq.gz
B6VR	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	2.7	F3FD	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3F/F3FD/F3FD.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3F/F3FD/F3FD.R2.fastq.gz
B606	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	5.5	F3M4	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3M/F3M4/F3M4.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3M/F3M4/F3M4.R2.fastq.gz
B7DG	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	4.2	F3T2	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3T2/F3T2.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3T2/F3T2.R2.fastq.gz
BWV	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	2.1	F3GA	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3G/F3GA/F3GA.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3G/F3GA/F3GA.R2.fastq.gz
BCB6	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_mortiferum	1.1	F6TC	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F6T/F6TC/F6TC.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F6T/F6TC/F6TC.R2.fastq.gz
BBMN	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia|s__Finegoldia_magna	0.11	F640	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F64/F640/F640.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F64/F640/F640.R2.fastq.gz
B4M5	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_ureolyticus	1.2	FK2G	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FK/FK2/FK2G/FK2G.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FK/FK2/FK2G/FK2G.R2.fastq.gz
B7YH	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	1.2	F3T9	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3T9/F3T9.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3T9/F3T9.R2.fastq.gz
B60P	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	12.5	F3F8	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3F/F3F8/F3F8.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3F/F3F8/F3F8.R2.fastq.gz
BRWF	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Providencia|s__Providencia_stuartii	3.8	FCNA	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FC/FCN/FCNA/FCNA.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FC/FCN/FCNA/FCNA.R2.fastq.gz
B6NK	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	4.6	F67B	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F67/F67B/F67B.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F67/F67B/F67B.R2.fastq.gz
B5AU	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	10.0	F2W7	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F2W/F2W7/F2W7.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F2W/F2W7/F2W7.R2.fastq.gz
B3WG	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.9	F6CA	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F6C/F6CA/F6CA.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F6C/F6CA/F6CA.R2.fastq.gz
B9Y9	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei	8.0	F4C4	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F4C/F4C4/F4C4.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F4C/F4C4/F4C4.R2.fastq.gz
BEMB	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	14.6	F67H	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F67/F67H/F67H.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F67/F67H/F67H.R2.fastq.gz
BG2C	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	1.3	FK5G	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FK/FK5/FK5G/FK5G.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FK/FK5/FK5G/FK5G.R2.fastq.gz
B10EX	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	17.0	FFN3	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FF/FFN/FFN3/FFN3.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FF/FFN/FFN3/FFN3.R2.fastq.gz
